x_mm,y_mm
-45.0,-27.0
-27.0,-27.0
-9.0,-27.0
9.0,-27.0
27.0,-27.0
45.0,-27.0
-45.0,-9.0
-27.0,-9.0
-9.0,-9.0
9.0,-9.0
27.0,-9.0
45.0,-9.0
-45.0,9.0
-27.0,9.0
-9.0,9.0
9.0,9.0
27.0,9.0
45.0,9.0
-45.0,27.0
-27.0,27.0
-9.0,27.0
9.0,27.0
27.0,27.0
45.0,27.0
