layout_type,N,layout_parameters,nozzle_count,min_center_distance,mean_nearest_neighbor_distance,std_nearest_neighbor_distance,nearest_neighbor_cv,uniformity_score,max_center_radius,mean_center_radius,radial_std,count_ok,boundary_ok,overlap_ok,spacing_ok,feasible,failure_reasons,x_axis_symmetry,y_axis_symmetry,origin_symmetry
A_Rectangular,24,"{""columns"": 6, ""rows"": 4, ""spacing"": 18.0}",24,18.0,18.0,0.0,0.0,1.0,52.478567053607705,34.36707146740084,12.99632250887009,True,True,True,True,True,[],True,True,True
B_Hexagonal,24,"{""row_counts"": [4, 5, 6, 5, 4], ""spacing"": 16.0}",24,15.999999999999998,15.999999999999998,0.0,0.0,1.0,40.0,27.411736838412708,9.553185341459374,True,True,True,True,True,[],True,True,True
C_Double_Ring,24,"{""points_per_ring"": [8, 16], ""ring_radii"": [25.0, 48.0]}",24,18.72867091354829,18.863837815117034,0.19115486538244286,0.010133402717725651,0.9899682530144415,48.00000000000001,40.333333333333336,10.842303978193728,True,True,True,True,True,[],True,True,True
D_Triple_Ring,24,"{""include_center"": true, ""points_per_ring"": [7, 16], ""ring_radii"": [25.0, 48.0]}",24,18.72867091354829,19.85491847116326,1.7132712475817389,0.08628951310326693,0.9205649027608133,48.00000000000001,39.291666666666664,13.20820189209047,True,True,True,True,True,[],True,False,False
