layout_name,layout_type,N,layout_parameters,nozzle_count,min_center_distance,mean_nearest_neighbor_distance,std_nearest_neighbor_distance,nearest_neighbor_cv,uniformity_score,max_center_radius,mean_center_radius,radial_std,count_ok,boundary_ok,overlap_ok,spacing_ok,feasible,failure_reasons,x_axis_symmetry,y_axis_symmetry,origin_symmetry
A_Rectangular,A_Rectangular,24,{},24,18.0,18.0,0.0,0.0,1.0,52.478567053607705,34.36707146740084,12.99632250887009,True,True,True,True,True,[],True,True,True
B_Hexagonal,B_Hexagonal,24,{},24,15.999999999999998,15.999999999999998,0.0,0.0,1.0,40.0,27.411736838412708,9.553185341459374,True,True,True,True,True,[],True,True,True
C_Double_Ring,C_Double_Ring,24,{},24,18.72867091354829,18.863837815117034,0.19115486538244286,0.010133402717725651,0.9899682530144415,48.00000000000001,40.333333333333336,10.842303978193728,True,True,True,True,True,[],True,True,True
D_Triple_Ring,D_Triple_Ring,24,{},24,18.72867091354829,19.85491847116326,1.7132712475817389,0.08628951310326693,0.9205649027608133,48.00000000000001,39.291666666666664,13.20820189209047,True,True,True,True,True,[],True,False,False
E_Sector_4x6,sector,24,"{""angular_offset"": 0.19634954084936207, ""inner_radius"": 18.0, ""num_sectors"": 4, ""outer_radius"": 46.0, ""points_per_sector"": 6, ""radial_levels"": 3, ""sector_angle"": 0.5235987755982988}",24,9.317485623690736,12.439161874563581,2.2073584456611806,0.17745234509528593,0.8492912720973642,46.0,32.0,11.430952132988162,True,True,True,True,True,[],False,False,True
F_Radial_8x3,radial_spoke,24,"{""angular_offset"": 0.19634954084936207, ""inner_radius"": 16.0, ""num_spokes"": 8, ""outer_radius"": 46.0, ""points_per_spoke"": 3}",24,12.245869835682871,14.08195661189429,1.2983094103060406,0.09219666315470869,0.9155860237767005,46.00000000000001,31.0,12.247448713915889,True,True,True,True,True,[],False,False,True
G_Staggered_Ring_8_16,staggered_ring,24,"{""delta_theta"": 0.19634954084936207, ""points_per_ring"": [8, 16], ""ring_radii"": [25.0, 48.0]}",24,18.72867091354829,18.863837815117027,0.1911548653824454,0.01013340271772579,0.9899682530144412,48.00000000000001,40.333333333333336,10.842303978193728,True,True,True,True,True,[],True,True,True
H_Nonuniform_3_Ring,nonuniform_ring,24,"{""points_per_ring"": [4, 8, 12], ""ring_offsets"": [0.0, 0.39269908169872414, 0.2617993877991494], ""ring_radii"": [18.0, 34.0, 50.0]}",24,16.88453349456373,18.152279953789165,2.1330464075109576,0.11750845695092416,0.8948478141529764,50.00000000000001,39.333333333333336,11.925695879998877,True,True,True,True,True,[],True,True,True
I_Deterministic_Irregular,deterministic_irregular,24,"{""inner_radius"": 0.0, ""outer_radius"": 50.0}",24,15.7791465953437,17.053763698723195,0.5060782406938248,0.029675457549098946,0.9711797952145675,49.476425362657984,33.35741829872688,11.716767661934812,True,True,True,True,True,[],False,False,False
